,,,Cloud Appication Developer Calendar,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Date,Day,Timing,Module Name,Sub Topic,Practical Activity,Activity,,,,Detail Timing ,,
2025-09-01,Monday,9.45 AM to 5.15PM,"Module 1: Basics of Cloud Computing and Regulatory Standards","Session 1: Introduction to Cloud Computing",,,,,,,09:45 – 10:30,Theory 1,Practical 1
2025-09-02,Tuesday,9.45 AM to 5.15PM,"Module 1: Basics of Cloud Computing and Regulatory Standards","Session 2: Cloud Computing Models and Service Types",,,,,,,10:30 – 11:15,Theory 2,Practical 2
2025-09-03,Wednesday,9.45 AM to 5.15PM,"Module 1: Basics of Cloud Computing and Regulatory Standards","Session 3: Adoption and Applications of Cloud Technologies",,,,,,,11:15 – 11:30,Tea Break,Tea Break
2025-09-04,Thursday,9.45 AM to 5.15PM,"Module 1: Basics of Cloud Computing and Regulatory Standards","Session 4: Cloud Computing and Data Management",,,,,,,11:30 – 12:15,Practical 1,Theory 1
2025-09-05,Friday,9.45 AM to 5.15PM,"Module 1: Basics of Cloud Computing and Regulatory Standards","Session 5: Compliance, Security and Legal Considerations in Cloud Computing",,,,,,,12:15 – 13:15,Practical 2,Theory 2
2025-09-06,Saturday,9.45 AM to 5.15PM,"Module 2: Development Tools and Usage","Session 1: Programming and Development in Cloud Computing",,,,,,,13:15 – 14:00,Lunch Break,Lunch Break
2025-10-06,Monday,9.45 AM to 5.15PM,"Module 7: Software Packaging and Deployment","Session 3: Deployment Issues and Best Practises",,,,,,,,,,
2025-10-07,Tuesday,9.45 AM to 5.15PM,"Module 7: Software Packaging and Deployment","Session 4: Practical Implementation of Deployment Strategies",,,,,,,,,,
2025-10-08,Wednesday,9.45 AM to 5.15PM,"Module 8: Application Performance Monitoring","Session 1: Cloud Deployment Models and Performance Monitoring",,,,,,,,,,
2025-10-09,Thursday,9.45 AM to 5.15PM,"Module 8: Application Performance Monitoring","Session 2: Application Performance and Business Outcomes",,,,,,,,,,
2025-10-10,Friday,9.45 AM to 5.15PM,"Module 8: Application Performance Monitoring","Session 3: Automating Performance Monitoring and Optimisation",,,,,,,,,,
2025-10-11,Saturday,9.45 AM to 5.15PM,"Module 8: Application Performance Monitoring","Session 4: Monitoring, Reviewing, and Optimising Cloud Applications",,,,,,,,,,
2025-10-12,Sunday,,,,,,,,,,,,
2025-10-13,Monday,9.45 AM to 5.15PM,"Module 9: Inclusive and Environmentally Sustainable Workplaces","Session 1: Sustainable Practices",,,,,,,,,,
2025-10-14,Tuesday,9.45 AM to 5.15PM,"Module 9: Inclusive and Environmentally Sustainable Workplaces","Session 2: Respect Diversity and Strengthen Practices to Promote Equity (Equality)/Inclusivity",,,,,,,,,,
2025-10-15,Wednesday,9.45 AM to 5.15PM,"Module 10: Introduction to Employability Skills","Session 1: Employability Skills for Career Advancement",,,,,,,,,,
2025-10-16,Thursday,9.45 AM to 5.15PM,"Module 11: Constitutional Values - Citizenship","Session 1: Responsible Citizenship and Sustainable Practices",,,,,,,,,,
2025-10-17,Friday,9.45 AM to 5.15PM,"Module 12: Becoming a Professional in the 21st Century","Session 1: 21st Century Skills for Personal and Professional Success",,,,,,,,,,
2025-10-18,Saturday,9.45 AM to 5.15PM,"Module 13: Basic English Skills","Session 1: Communication in Basic English",,,,,,,,,,
2025-10-19,Sunday,,,,,,,,,,,,
2025-10-20,Monday,9.45 AM to 5.15PM,"Module 14: Career Development and Goals Setting","Session 1: Career Development and Goal Setting",,,,,,,,,,
2025-10-21,Tuesday,9.45 AM to 5.15PM,"Module 15: Communication Skills","Session 1: Effective Communication Skills",,,,,,,,,,
2025-10-22,Wednesday,9.45 AM to 5.15PM,"Module 16: Diversity and Inclusion","Session 1: Gender and Disability in the Workplace",,,,,,,,,,
2025-10-23,Thursday,9.45 AM to 5.15PM,"Module 17: Financial and Digital Literacy","Session 1: Financial and Digital Literacy",,,,,,,,,,
2025-10-24,Friday,9.45 AM to 5.15PM,"Module 18: Essential Digital Skills","Session 1: Digital Skills",,,,,,,,,,
2025-10-25,Saturday,9.45 AM to 5.15PM,"Module 19: Entrepreneurship","Session 1: Entrepreneurship Essentials",,,,,,,,,,
2025-10-26,Sunday,,,,,,,,,,,,
2025-10-27,Monday,9.45 AM to 5.15PM,"Module 20: Customer Service","Session 1: Customer-Centric Excellence",,,,,,,,,,
2025-10-28,Tuesday,9.45 AM to 5.15PM,"Module 21: Getting Ready for Apprenticeship & Jobs","Session 1: Apprenticeships and Interview",,,,,,,,,,
